GENE	logFC	adj.P.Val
GOLGA8A	-2.278274344	1.11E-28
GON4L	-1.004260002	1.91E-25
GOPC	-1.083925384	9.54E-11
GORASP2	-1.422430189	8.69E-31
GOT2	-1.139220351	3.14E-17
GP1BA	1.03140741	0.00
GP9	1.32346208	3.83E-07
GPATCH1	-1.413140923	4.41E-32
GPATCH2	-1.353537003	4.90E-18
GPATCH8	-1.178921174	1.85E-20
GPN1	-1.204063235	1.23E-23
GPR114	-1.2888877	6.38E-23
GPR141	1.624025271	3.76E-18
GPR146	1.352627904	9.93E-06
GPR155	-1.215120222	8.88E-09
GPR160	2.419181771	2.02E-23
GPR171	-1.788805632	7.95E-11
GPR18	-3.238758438	1.79E-35
GPR183	-3.184026852	2.38E-34
GPR56	-2.940719253	3.62E-21
GPR68	-1.103108918	3.33E-25
GPR84	4.646982064	1.18E-26
GPR97	1.60153178	5.70E-21
GPRASP1	-1.412617058	1.86E-30
GRAMD1A	1.001457386	2.64E-09
GRB10	3.565528375	5.31E-35
GRINA	1.480760915	3.56E-27
GRPEL2	-1.227253134	8.29E-18
GSPT2	-1.004743731	6.21E-25
GSTO1	1.157713959	1.24E-17
GSTP1	-1.238295469	9.57E-13
GTDC1	1.284231833	1.33E-14
GTF2F1	-1.080734602	4.58E-16
GTF3C2	-1.420924384	6.69E-32
GTPBP3	-1.472457059	1.26E-40
GTPBP8	-1.311138567	5.42E-18
GUCY1B3	1.053177737	7.14E-06
GYG1	3.069325095	1.50E-38
GYPA	1.372361804	1.30E-08
GYPB	2.619786547	4.45E-11
GZMA	-1.69722801	3.92E-08
GZMB	-2.585268124	2.40E-13
GZMH	-3.178729322	2.15E-13
GZMK	-2.757882965	9.83E-16
GZMM	-2.750949292	9.76E-34
HACL1	-1.078125906	7.01E-23
HADH	-1.441345058	4.56E-22
HAL	-1.004474587	0.00
HARS	-1.207832475	3.83E-17
HAT1	1.25263317	3.17E-09
HAUS4	1.197472566	4.17E-15
HBD	2.121995833	6.84E-10
HBQ1	1.880657342	8.94E-13
HCP5	-1.663362921	7.36E-16
HDAC4	1.009254487	3.93E-11
HDAC9	-1.054412991	9.14E-19
HEATR2	-2.025098265	2.49E-34
HEATR5B	-1.287833895	1.99E-17
HEBP2	1.388922843	6.01E-25
HEG1	-1.382358639	2.49E-26
HEPACAM2	1.183102424	1.07E-07
HERC5	-1.153042358	0.01
HES6	1.599233075	3.28E-07
HGF	1.551078788	2.14E-10
HIGD2A	-1.091351414	5.95E-21
HIP1	1.443228187	2.73E-11
HIRA	-1.3734461	5.70E-12
HIST1H1C	1.529921157	1.77E-11
HIST1H2AE	1.181195967	3.22E-08
HIST1H2BD	1.41005155	1.78E-10
HIST2H2BE	1.032746771	1.07E-07
HIVEP2	-1.062631042	1.35E-08
HK3	2.531065747	4.66E-33
HKR1	-1.365188568	1.75E-27
HLA-DMA	-2.940947235	2.04E-29
HLA-DMB	-3.032048835	5.09E-33
HLA-DOA	-2.55967043	2.63E-31
HLA-DPA1	-2.833301592	9.25E-33
HLA-DPB1	-2.947840343	8.88E-37
HLA-DQA1	-3.181077881	4.49E-22
HLA-DQB1	-1.492280505	3.59E-05
HLA-DRA	-2.100253038	4.51E-25
HLA-DRB1	-3.079221664	2.32E-34
HLA-DRB4	-1.303298632	0.03
HLA-DRB5	-1.596854091	0.00
HLA-F	-1.08791677	6.34E-12
HMBS	1.421456765	4.15E-10
HMG20A	-1.29905638	1.70E-29
HMGB2	2.541603313	1.88E-29
HMGN3	-1.593131447	6.05E-20
HMGN4	-1.071993887	1.27E-15
HMMR	1.020849973	4.95E-07
HMOX2	-1.145561348	1.47E-23
HNRNPA0	-1.590861995	2.64E-26
HNRNPA1	-1.346362621	1.26E-22
HNRNPA3	-1.386987341	1.57E-31
HNRNPAB	-1.019249243	4.18E-14
HNRNPH1	-1.716195592	3.09E-24
HNRNPH3	-1.3606231	3.51E-11
HNRNPR	-1.75267815	3.51E-34
HNRNPU	-1.045772851	1.41E-23
HNRPDL	-1.315807667	1.44E-13
HOPX	-1.165886371	1.19E-06
HOXB2	-1.453163893	7.48E-24
HP	5.29591725	5.09E-33
HP1BP3	-1.338669993	6.26E-22
HPGD	3.444268459	2.02E-16
HPS3	-1.193272368	2.45E-13
HPSE	1.34176329	7.05E-08
HSBP1	1.015646376	7.32E-19
HSD17B8	-1.093181938	6.96E-22
HSDL2	1.177774301	4.72E-09
HSH2D	-2.49044778	1.36E-18
HSP90AB1	-1.349088459	3.12E-11
HSP90B1	-1.012960232	1.48E-08
HSPA8	-1.78864022	6.74E-26
HSPA9	-2.135013817	8.67E-26
HSPD1	-1.610632987	1.29E-14
HSPH1	-1.373091039	6.81E-08
HTATSF1	-1.549570633	5.98E-21
HVCN1	-2.688463483	1.40E-30
IARS	-2.106587706	3.22E-25
ICAM2	-1.411123599	1.01E-19
ID2	-1.504425287	1.13E-13
ID3	-1.686416987	5.03E-33
IDH3B	-1.011341628	1.90E-13
IDI1	2.62404323	4.83E-16
IDO1	-1.574556597	2.06E-06
IER3	1.536618388	1.47E-16
IER5	-1.271004832	3.84E-11
IFFO2	-1.193697193	1.53E-28
IFI27	2.175408575	0.00
IFIH1	-1.950174223	3.21E-07
IFIT1	-2.368802813	5.27E-05
IFIT1B	2.248663999	1.81E-07
IFIT2	-2.767535023	1.31E-08
IFIT3	-1.883084781	0.00
IFT20	1.401699879	1.18E-19
IGF2BP2	1.435425508	1.55E-06
IGHM	-1.607300169	5.90E-06
IKBKAP	-1.326428006	1.08E-28
IKBKB	-1.500748514	2.38E-25
IKZF2	-1.600195114	2.77E-32
IKZF3	-1.308993469	2.61E-21
IL10RA	-1.655834122	8.66E-30
IL11RA	-1.396063557	6.59E-39
IL16	-1.357722252	2.44E-16
IL18R1	3.500010528	1.40E-27
IL18RAP	2.637595836	8.06E-30
IL1R1	2.298427308	8.14E-24
IL1R2	4.520939144	5.22E-46
IL1RAP	1.021262968	0.00
IL1RN	1.046208239	3.35E-08
IL23A	-3.409322488	1.06E-30
IL27RA	-1.480761697	2.03E-23
IL2RB	-3.781705988	3.44E-36
IL32	-2.724777225	3.75E-26
IL4R	1.200083499	1.89E-13
IL7R	-3.380134398	2.81E-25
ILF3	-1.47322272	3.70E-27
ILKAP	-1.018726717	1.19E-16
IMMT	-1.643229008	7.54E-22
IMP3	-1.941607319	8.86E-35
IMPDH2	-2.109798627	4.30E-24
INPP4A	-1.263603388	3.98E-16
INPP4B	-2.151064387	1.81E-36
INTS4	-1.071693144	5.65E-18
INTS9	-1.094730888	4.16E-28
IPCEF1	-1.031145895	9.34E-14
IPO5	-1.276006418	8.47E-23
IPO7	-1.373596188	7.40E-20
IPO9	-1.007562891	2.44E-17
IRAK3	2.666602756	4.12E-40
IRF1	-1.203796196	2.84E-12
IRF4	-1.33352461	8.99E-10
IRF8	-1.586441175	1.16E-20
ISCA1	2.288550203	9.48E-14
ISG15	-1.227995505	0.01
ISG20	-1.013954012	1.11E-06
ISOC1	-1.573094061	1.23E-22
ITFG2	-1.976023141	2.35E-34
ITGA2B	2.489973006	2.42E-13
ITGA4	-2.167717167	5.62E-26
ITGA6	-1.456730976	1.63E-10
ITGA7	1.667712717	3.27E-09
ITGAL	-1.205700626	5.28E-15
ITGAM	1.076141596	9.91E-17
ITGB3	1.548984116	2.97E-09
ITGB7	-2.616339227	9.02E-30
ITK	-3.2603465	1.26E-32
ITM2A	-2.011783972	3.48E-16
ITPA	-1.134078158	3.87E-23
ITPKB	-1.5670726	1.15E-22
ITPKC	1.50638345	5.81E-12
JAK1	-1.209697176	1.62E-26
JAK2	1.367427642	4.70E-12
JAK3	1.159294377	1.62E-14
JARID2	-1.220133928	7.11E-14
JAZF1	1.16717354	2.19E-08
JDP2	1.132197335	2.35E-12
JMJD6	1.557623951	1.20E-16
JMY	-1.155685357	2.83E-22
KANK2	1.603776715	6.08E-09
KARS	-1.14712185	9.71E-19
KBTBD7	1.279320196	1.94E-08
KCNA3	-2.038197417	4.61E-32
KCNE1	1.600559189	1.58E-12
KCNH2	2.093392149	3.66E-09
KCNMA1	2.114801552	3.01E-09
KCTD10	-1.101671047	1.04E-14
KCTD6	-1.402748985	1.15E-17
KCTD7	-1.208013664	2.33E-31
KDM1A	-1.14723724	2.82E-23
KHDRBS1	-1.172551454	2.99E-31
KHSRP	-1.277496216	1.27E-17
KIAA0101	1.517051109	5.22E-07
KIAA0182	-1.959026723	2.81E-29
KIAA0355	-1.103212569	2.02E-29
KIAA0494	-1.08120424	1.04E-27
KIAA0748	-3.010811185	1.98E-41
KIAA0907	-1.442581821	1.57E-24
KIAA0947	-1.380675125	2.63E-16
KIAA1147	-2.144862889	1.60E-38
KIAA1267	-1.06891865	7.83E-20
KIAA1310	-1.105340477	3.22E-24
KIAA1324	-1.831078548	1.59E-11
KIAA1370	-1.344198143	5.30E-10
KIAA1377	-1.140381433	6.50E-21
KIAA1430	-1.48148033	1.01E-21
KIAA1539	1.395037697	9.10E-26
KIAA1704	-1.353383607	1.28E-24
KIAA1715	1.251699617	5.74E-11
KIAA1967	-1.184012757	1.16E-26
KIF1B	2.446651484	5.70E-27
KIF21A	-1.105830593	8.35E-22
KIF3C	1.130046023	1.01E-07
KLC3	1.077023486	2.21E-05
KLF1	1.631608486	1.55E-06
KLF10	-1.218556227	6.88E-07
KLF11	-1.170225335	2.58E-19
KLF12	-1.190269274	3.82E-24
KLF2	-1.002484196	1.01E-23
KLF4	-1.651287717	1.19E-16
KLF5	1.199753976	1.45E-11
KLHDC5	-1.038411387	1.50E-18
KLHL2	1.87659629	5.44E-10
KLHL8	1.006050196	6.68E-11
KLRB1	-3.070823096	6.33E-29
KLRC1	-1.389098157	7.25E-12
KLRD1	-2.493275376	2.32E-19
KLRF1	-2.65353323	6.83E-20
KLRG1	-3.487895269	3.52E-35
KLRK1	-3.066447837	4.82E-25
KREMEN1	1.96607502	9.64E-13
KRI1	-1.504114114	1.33E-26
KRIT1	-1.096956599	6.25E-23
KRT1	1.330324185	0.01
KRT23	-1.689796278	5.64E-08
KTELC1	-1.633502454	3.36E-27
LANCL1	-1.395383898	3.78E-25
LAP3	-1.128623661	6.72E-05
LARS	-1.636674478	5.89E-27
LASS6	-1.002527702	1.14E-10
LAX1	-1.526552966	5.69E-25
LBH	-2.356519529	1.51E-24
LCK	-3.298957632	6.60E-35
LCN2	4.514397822	5.17E-23
LDHA	1.363955666	3.63E-16
LDHB	-2.58653544	1.64E-31
LDLR	1.536330219	1.34E-08
LDLRAP1	-1.270788679	3.44E-13
LDOC1L	-2.252009662	5.94E-41
LEF1	-4.243925636	2.35E-32
LEPROTL1	-1.205116558	1.23E-17
LETMD1	-1.443508251	1.12E-26
LFNG	-1.768788857	3.11E-24
LGALS2	-2.161464641	3.37E-11
LHFPL2	1.123643255	7.98E-08
LILRA3	1.149706918	6.24E-07
LILRA5	2.339502365	2.32E-34
LILRA6	2.102260423	2.21E-28
LIMA1	-1.283454941	2.22E-30
LIME1	-1.294693122	2.48E-18
LIN7A	2.30035291	1.42E-27
LIPA	-1.150272405	4.46E-10
LIPN	1.45075798	7.72E-11
LIPT1	-1.112908603	6.67E-18
LLGL2	-1.041483261	1.18E-18
LMNB1	1.174465391	2.06E-14
LOC100128751	-1.33968488	3.79E-16
LOC100129637	-1.300322632	8.28E-29
LOC100131541	-2.171798923	1.00E-17
LOC100291682	-1.344723782	3.73E-06
LOC339047	-1.602651533	9.90E-24
LOC643008	1.3178977	5.55E-07
LOC729678	-1.084845191	5.95E-18
LONP1	-1.093564894	1.57E-20
LPCAT2	1.176725991	7.63E-09
LPIN1	-2.45145597	4.89E-33
LPXN	-2.047550703	5.60E-31
LRG1	1.605646148	2.61E-20
LRIG1	-1.576161437	4.27E-29
LRPPRC	-1.96891187	9.86E-36
LRRC33	-1.560230291	9.01E-27
LRRC47	-1.480474796	6.37E-30
LRRC8C	-1.148442017	1.33E-08
LRRN3	-3.484345936	1.63E-44
LSG1	-1.194864735	1.15E-20
LSM3	1.093592276	6.81E-13
LTB	-2.017228469	3.37E-25
LTB4R	1.300670177	8.09E-16
LTBP1	1.009656957	3.07E-08
LTBP3	-1.01154289	8.49E-23
LTF	4.198522729	2.46E-18
LUC7L2	-1.432244231	5.92E-27
LUC7L3	-1.07822463	2.28E-18
LY6G6F	1.558086492	4.28E-09
LY75	-1.603000618	1.27E-08
LY86	-1.460914942	9.48E-09
LY9	-2.043119917	5.46E-30
LY96	2.575342766	5.36E-21
LYAR	-1.851846317	3.11E-29
LYSMD2	-2.129534377	2.93E-16
M6PR	-1.246865376	3.05E-24
MAD1L1	-2.026301824	1.52E-25
MAF	-2.068786969	2.21E-19
MAFG	1.592626181	2.40E-34
MAGED1	-2.087511991	2.97E-27
MAL	-1.806960283	6.29E-13
MAML2	-1.976756733	8.72E-21
MAOA	1.682719984	4.09E-11
MAP1LC3B	1.396959	2.06E-30
MAP2K3	1.073978567	2.05E-10
MAP2K6	2.664647715	8.89E-28
MAP3K4	-1.741688634	2.71E-35
MAP4K1	-1.516503026	7.97E-32
MAPK14	1.278426929	3.68E-21
March 2	1.213504259	9.54E-13
March 8	1.754295248	1.07E-09
March 9	-1.050249544	8.15E-22
MARK3	1.018744525	1.87E-15
MATK	-1.89476382	3.25E-27
MBOAT2	2.127895295	1.81E-36
MCCC1	-1.270058574	4.68E-27
MCCC2	-1.250912575	5.41E-29
MCOLN2	-1.077353706	1.17E-12
MCTP1	1.234218011	1.51E-05
MCTP2	1.529617017	1.69E-15
MDH2	-1.015004111	5.46E-23
MDN1	-1.8335108	3.48E-35
MEAF6	-1.49683648	2.21E-23
MED29	-1.008576401	1.41E-15
MED6	-1.083682864	1.71E-16
MEF2A	1.348028562	9.57E-12
MEF2C	-2.034803004	2.05E-23
MEF2D	-1.072018801	1.03E-11
MEGF6	-1.072267155	1.84E-15
MERTK	1.084773413	3.61E-07
MESDC2	-1.133232547	5.06E-14
METAP1	-1.774280278	9.09E-34
METAP2	-1.159222276	1.01E-11
METT10D	-1.281157122	2.71E-32
METTL13	-1.464764512	2.01E-28
METTL3	-1.173041322	7.08E-20
METTL7B	2.287623429	6.06E-12
METTL9	1.823306888	7.78E-36
MEX3C	-1.476431986	2.88E-18
MFNG	-1.480567312	1.06E-26
MFSD6	-1.190005489	1.74E-16
MFSD8	-1.071828981	1.90E-14
MGA	-2.007996605	1.83E-32
MGAM	1.553452333	4.32E-15
MGLL	1.190494132	2.17E-06
MGMT	-1.275332856	3.35E-20
MICAL1	1.027138362	3.85E-11
MID1IP1	-1.247455435	1.56E-18
MINA	-1.091840064	3.25E-12
MIS12	-1.097514459	3.30E-14
MKI67IP	-1.165974864	2.27E-14
MKNK1	1.811164611	2.46E-20
MLEC	-1.082907285	1.02E-12
MLL	-1.69217912	2.46E-26
MLLT6	-1.744158779	3.62E-24
MME	-2.350308223	6.89E-09
MMP8	6.407223574	3.42E-30
MMP9	3.088326395	2.94E-32
MMRN1	2.296347199	9.10E-15
MOAP1	-1.488506209	1.03E-17
MOBKL3	1.323715279	3.12E-10
MORC2	-1.763001167	1.21E-31
MOSC1	1.422784956	4.34E-12
MPEG1	-2.203525915	3.38E-18
MPHOSPH10	-1.747345955	3.62E-28
MPHOSPH8	-1.206171823	1.48E-24
MPI	-1.333245361	4.15E-26
MPO	1.758475701	6.00E-07
MPP1	1.223379566	2.73E-13
MPRIP	-1.63939476	1.04E-31
MPV17	-1.181779944	2.05E-16
MRE11A	-1.264552045	4.64E-26
MRFAP1L1	-1.272195494	4.43E-14
MRI1	-1.565761056	1.41E-31
MRPL10	-1.129230902	4.01E-20
MRPL34	-1.024239169	7.81E-13
MRPL9	-1.323115334	1.24E-19
MRPS12	-1.111798838	2.68E-15
MRPS18B	-1.276137962	1.08E-30
MRPS2	-1.147717505	3.43E-22
MRPS26	-1.224834112	3.54E-22
MRPS27	-1.088584964	1.45E-29
MRPS30	-1.120532772	6.90E-21
MRPS35	-1.317816924	7.99E-16
MRPS6	-1.208668447	1.40E-15
MRPS9	-1.135436142	1.89E-22
MS4A1	-2.569708887	6.21E-22
MS4A3	2.477897619	1.51E-06
MS4A4A	3.703016925	3.73E-29
MS4A7	-1.404748962	5.37E-06
MSI2	1.07070517	4.40E-09
MSL3	1.370012312	9.18E-15
MSRA	1.028982381	7.34E-09
MTA1	-1.173635296	6.07E-31
MTHFD2	1.226351132	1.22E-07
MTIF2	-1.123964746	9.00E-14
MTMR11	-1.541769648	4.85E-14
MTMR15	-1.216471255	2.13E-25
MTO1	-1.148497716	6.39E-14
MTR	-1.74264128	2.13E-38
MTSS1	-1.843717812	3.47E-18
MTX1	1.010770372	5.15E-19
MTX3	-1.500162975	4.22E-26
MX1	-2.014537214	2.59E-05
MXD3	1.478110864	1.59E-13
MXI1	1.220408186	8.60E-09
MXRA7	1.046687225	0.00
MYBL1	-2.613786188	1.84E-25
MYC	-2.445329078	3.66E-26
MYCBP2	-1.549315338	1.11E-30
MYCL1	-1.91265364	2.76E-36
MYL4	1.110577281	0.00
MYL6	1.448724104	2.26E-32
MYL6B	1.098362176	4.56E-12
MYL9	2.044652245	1.03E-12
MYOM2	-1.645281229	5.60E-12
MYST4	-1.339946893	2.53E-26
N4BP2L1	-1.552907642	1.83E-16
NAA15	-1.509550397	2.11E-24
NAA25	-1.135903628	4.32E-25
NAAA	-2.100752016	1.59E-21
NAE1	-1.180403018	2.37E-11
NAIP	2.072157987	1.42E-18
NAP1L1	-1.111507948	6.05E-15
NAPSB	-1.18541935	4.16E-12
NARF	1.023923159	5.40E-20
NARG2	-1.520422719	3.81E-23
NARS	-1.309926468	1.32E-18
NAT10	-1.338953619	7.58E-37
NBPF8	-1.19958884	6.09E-14
NCALD	-1.228490135	9.58E-28
NCBP2	-1.850398768	5.48E-30
NCL	-2.086945128	5.39E-33
NCOA5	-1.149665005	6.75E-27
NCR1	-1.244818786	3.78E-08
NCRNA00219	-1.232748306	1.97E-14
NDE1	-1.19677481	3.92E-13
NDNL2	-1.581297439	1.29E-34
NDRG3	-1.087188588	9.32E-12
NDST2	1.090468438	8.00E-10
NDUFA4	2.296326045	5.16E-23
NDUFB1	1.346559736	1.99E-12
NDUFB3	2.066833028	7.31E-28
NDUFV1	-1.176256063	1.73E-21
NECAB1	1.271876175	4.79E-07
NEDD4L	2.020068482	5.60E-16
NELL2	-3.467927693	5.22E-46
NEO1	1.249509786	2.57E-08
NF2	-1.320473822	2.72E-26
NFATC1	-1.012673675	5.12E-13
NFATC2	-2.810960155	2.47E-33
NFATC2IP	-1.66768525	2.76E-30
NFATC3	-1.865148918	7.38E-25
NFE2	1.29796989	2.88E-25
NFIX	1.009932987	1.06E-07
NFX1	-1.606585037	1.18E-29
NHP2	-1.477444824	1.31E-20
NHP2L1	-1.677530214	2.35E-30
NIP7	-1.082566271	1.02E-19
NIPAL3	-2.096458178	4.37E-34
NKRF	-1.127655348	1.93E-15
NKTR	-1.270168878	2.34E-21
NLRC3	-2.720658104	9.50E-40
NLRC4	2.546865054	6.96E-26
NLRP1	-2.01500275	2.46E-21
NME4	1.396314667	5.13E-13
NMRAL1	-1.154001613	1.73E-12
NMT2	-2.164250685	4.01E-49
NOB1	-1.865311995	1.08E-32
NOL11	-1.513395267	1.05E-30
NOL8	-1.465020775	5.41E-22
NOLC1	-2.259637473	1.41E-35
NONO	-1.330073091	9.52E-39
NOP2	-1.102893016	5.06E-26
NOP56	-1.848572457	1.10E-30
NOP58	-1.268471605	6.58E-11
NOSIP	-1.232323919	3.45E-23
NOV	-2.041538901	9.03E-32
NPAT	-1.468729745	8.59E-29
NPCDR1	-1.050094168	2.26E-17
NPM1	-1.665177074	2.51E-23
NPRL2	-1.150902244	7.06E-19
NQO2	1.776292764	3.49E-15
NR1D2	-1.089808537	2.04E-21
NRN1	1.012580291	4.99E-07
NSA2	-1.281881053	3.15E-16
NSUN2	-1.668735645	2.36E-23
NSUN3	1.648754411	3.04E-18
NSUN5P2	-1.879629164	1.27E-25
NSUN6	-1.149863653	1.91E-15
NSUN7	1.836734926	7.53E-15
NT5M	1.391877589	1.13E-08
NTNG2	1.153675024	6.69E-11
NUB1	-1.17738976	3.32E-12
NUBP1	-1.27457427	7.11E-18
NUDC	-1.080481365	5.79E-18
NUDCD3	-1.08809815	3.35E-23
NUDT4	2.908243339	3.13E-15
NUDT9	-1.337170438	1.14E-22
NUP107	-1.335768152	3.15E-19
NUP133	-1.105762459	4.79E-25
NUP160	-1.0647032	1.56E-28
NUP205	-1.95720537	3.09E-24
NUP210	-1.131833164	2.26E-24
NUP43	-1.323723403	4.61E-21
NUP54	-1.730890575	1.61E-15
NUP62	-1.595496109	6.98E-28
NUP93	-2.126356992	6.16E-38
NXT1	-1.341383632	3.92E-16
OAS2	-1.850766603	3.35E-07
OAS3	-2.810083893	2.75E-07
OASL	-1.035710196	0.01
OCIAD2	-1.484142275	1.37E-21
OFD1	-1.62514606	1.08E-21
OGFOD1	-1.587491919	1.12E-31
OGG1	-1.263127569	3.12E-23
OGT	-1.18054081	1.03E-14
OLAH	3.852925421	1.67E-21
OLFM4	4.827144044	5.40E-15
OLIG1	-1.043594838	4.34E-06
OPLAH	2.438277313	6.87E-24
ORM1	2.400154807	8.08E-10
ORM2	1.214718291	9.20E-06
OSBP	-1.085116435	2.17E-20
OSBP2	1.031271975	0.00
OSBPL1A	1.013790759	5.91E-07
OSBPL3	-1.087388182	3.16E-28
OSCAR	1.301096672	2.66E-20
OSGEPL1	-1.59712583	5.98E-44
OSM	1.52008945	9.29E-14
OSTalpha	1.488415805	3.54E-10
OTUD4	-1.143117473	1.24E-17
OXA1L	-1.233447001	3.95E-20
OXNAD1	-2.114216429	7.01E-38
P2RX1	1.330162008	1.48E-11
P2RX5	-1.244046028	3.40E-07
P2RY10	-3.011962462	6.12E-56
P2RY14	-1.520203253	0.00
P2RY8	-2.317594085	7.30E-26
PABPC4	-1.975369929	1.50E-30
PADI4	1.464097821	8.93E-17
PAFAH2	-1.318206694	2.91E-37
PAG1	1.219368863	1.66E-16
PAICS	-1.154083107	1.55E-16
PAK1	-1.094452525	3.35E-13
PAN2	-1.224737911	1.08E-27
PANK4	-1.305155028	8.00E-20
PAPD7	-1.412550212	6.98E-29
PAQR8	-1.969544257	7.30E-32
PARN	-1.269161206	4.80E-21
PARP1	-2.071283212	5.61E-33
PARP12	-1.252736992	1.23E-05
PARP14	-1.906733242	1.35E-09
PASK	-2.446365607	3.12E-36
PATL2	-1.232905772	6.48E-12
PATZ1	-1.47032252	5.42E-42
PBX1	1.516216412	1.70E-07
PBXIP1	-1.443871794	3.86E-22
PCCA	-1.067426861	6.06E-33
PCDH9	-1.287681552	3.97E-11
PCID2	-1.341057985	7.63E-17
PCMT1	1.517238213	4.59E-28
PCMTD2	1.078291751	9.18E-07
PCNX	1.115110651	3.34E-12
PCOLCE2	1.908988064	2.33E-09
PCSK6	1.086674396	8.35E-06
PCSK7	-1.166175227	1.50E-18
PCYOX1	-1.1376418	3.04E-19
PCYOX1L	-1.596725263	1.05E-21
PDCD10	2.126693283	2.93E-21
PDCD4	-1.996579882	1.58E-28
PDCD7	-1.259026441	8.40E-20
PDCL3	-1.592767056	7.78E-24
PDE4B	-2.128712967	2.62E-14
PDE4D	1.590267544	6.77E-08
PDE4DIP	-2.499893305	1.68E-36
PDE5A	1.054472452	1.24E-06
PDE7A	-1.228282786	1.95E-13
PDGFC	1.898110586	4.18E-09
PDHB	-1.084411694	3.91E-22
PDIA3	-1.214573001	1.54E-17
PDIA4	-1.376025047	3.31E-12
PDLIM2	-1.180498537	4.29E-15
PDP1	-1.144684285	4.79E-13
PDPR	-1.562556858	2.82E-20
PDS5A	-1.343983004	1.13E-19
PDSS1	1.922788008	5.68E-10
PDXDC1	-1.337525334	1.24E-18
PDZD8	1.273238362	9.36E-18
PEA15	-1.834791773	9.30E-23
PEBP1	-2.293919269	2.66E-32
PECI	-2.205956783	3.15E-38
PECR	1.720524779	1.37E-17
PEPD	-1.189376651	8.34E-11
PEX1	-1.165256166	4.21E-21
PF4	1.102183081	1.90E-07
PF4V1	1.271219918	8.56E-06
PFDN5	1.269961648	8.12E-13
PFKFB2	4.013929599	2.63E-22
PFKFB3	2.765450986	3.90E-28
PGD	1.802409909	2.44E-26
PGLYRP1	2.934095148	1.17E-25
PGM2L1	1.027712086	1.56E-09
PGS1	1.782661716	2.52E-26
PHACTR4	-1.029016876	3.50E-16
PHC2	1.02824339	1.81E-12
PHF10	-1.16996034	3.66E-18
PHF15	-2.072698031	9.62E-24
PHF20	-1.307390761	1.47E-15
PHTF1	1.504898009	5.21E-15
PI3	-1.713307692	0.00
PI4KA	-1.095147448	1.13E-17
PID1	-2.298302222	2.84E-44
PIGM	-1.11853068	2.93E-19
PIGX	-1.267399498	1.64E-11
PIK3C2B	-1.105279286	1.23E-28
PIK3IP1	-2.285265831	9.17E-26
PIK3R1	-1.197072011	7.44E-22
PILRA	-1.793815882	1.30E-12
PINK1	1.350487824	1.24E-14
PIP4K2B	-1.23268306	1.71E-21
PITPNC1	-1.165855157	7.39E-15
PJA1	-2.258048471	9.18E-49
PKN2	-1.192688917	8.66E-11
PLAC8	1.252388348	7.36E-08
PLB1	1.661528382	1.81E-12
PLBD1	1.295622092	1.20E-22
PLCG1	-1.191831817	7.70E-30
PLCXD2	-1.302353929	4.38E-23
PLEK2	2.046894951	1.11E-08
PLEKHA1	-2.944659602	7.04E-39
PLEKHG3	-1.080491739	1.12E-15
PLEKHO1	-1.626875599	3.71E-17
PLIN5	1.302239393	5.66E-12
PLSCR1	1.641397456	6.70E-15
PLSCR3	-1.350080409	4.36E-28
PLXNB2	-1.230904611	4.72E-11
PMS1	-1.147212647	2.08E-15
PNP	1.127290355	1.70E-07
PNPT1	-1.007948528	2.06E-05
POC1B	1.429873132	8.31E-14
POGK	-1.126273537	4.97E-20
POLB	-1.430422054	3.19E-08
POLD2	-1.190922068	1.38E-17
POLE3	-1.029350487	4.30E-19
POLR1B	-1.417145034	1.16E-33
POLR1D	1.125519278	2.66E-08
POLR2B	-1.006594209	5.50E-12
POLR2K	1.046277206	8.92E-09
POLRMT	-1.228360027	2.59E-25
POM121	-1.21449183	1.04E-18
POP5	-1.324717188	7.25E-20
POR	1.363649567	1.50E-14
POU2AF1	-1.235298607	6.61E-05
PPAPDC2	-1.140326554	3.27E-20
PPBP	2.087643042	2.75E-18
PPHLN1	-1.119165519	1.54E-16
PPIE	-1.425301193	5.77E-18
PPIF	-1.035685994	1.04E-09
PPIH	-1.480287994	9.89E-24
PPIL2	-1.752302488	2.35E-31
PPM1A	1.206647888	6.01E-13
PPM1K	-1.633975591	2.00E-19
PPM1M	1.2274061	9.77E-12
PPM1N	1.045667559	7.12E-06
PPP1CB	1.184486892	5.05E-09
PPP1CC	-1.055895897	1.27E-15
PPP1R12B	-1.255592971	3.30E-09
PPP1R16B	-2.179106433	8.74E-31
PPP1R3D	1.184878486	2.18E-19
PPP1R8	-1.130955554	3.69E-22
PPP2R5C	-1.216199147	1.52E-18
PPP3CC	-1.918607922	2.01E-32
PPP4R2	1.853691464	5.06E-14
PPRC1	-1.086805455	1.95E-28
PPTC7	-1.551742011	1.29E-22
PPWD1	-1.015763732	7.59E-11
PQLC1	1.343601189	1.96E-18
PQLC3	-1.886231977	1.44E-17
PRDM1	-1.074946492	3.89E-07
PREP	-1.056331731	3.58E-18
PREPL	-1.021999782	2.63E-15
PRF1	-2.930866907	1.07E-17
PRKACB	-1.628744211	8.18E-12
PRKAG2	-1.383417137	3.82E-13
PRKAR2B	1.325753164	2.60E-08
PRKCA	-1.384618107	5.10E-13
PRKCH	-2.975911551	2.14E-34
PRKCQ	-2.933832246	1.57E-43
PRKX	-1.398315399	3.84E-19
PRMT1	-1.426123974	4.12E-15
